"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15005","Test 1.2 - Search and Apply Language and Level Filters","chromium","2026-02-23","passed","2026-02-23","","1Testing_Filters.spec.ts","",""
"","39608","@sanity Test 2.2 - Iterate Through Languages and List Available Levels","chromium","2026-02-23","passed","2026-02-23","","2Language_Filters.spec.ts","",""
"","12887","Test 1.3 - Read and Validate Top 2 Course Cards Details","chromium","2026-02-23","passed","2026-02-23","","1Testing_Filters.spec.ts","",""
"","9732","@smoke Test 3.1 - Navigate to University Form Page","chromium","2026-02-23","passed","2026-02-23","","3Handling_Form.spec.ts","",""
"","13119","Test 3.3 - Resubmit Form and Validate Error Message","chromium","2026-02-23","passed","2026-02-23","","3Handling_Form.spec.ts","",""
"","19322","Test 3.2 - Fill University Form and Submit","chromium","2026-02-23","passed","2026-02-23","","3Handling_Form.spec.ts","",""
"","14185","@sanity Test 2.1 - Open Language Filter and Count Available Options","chromium","2026-02-23","passed","2026-02-23","","2Language_Filters.spec.ts","",""
"","9083","Test 4.1 - Navigate to Coursera Plus Page","chromium","2026-02-23","passed","2026-02-23","","4Price_Validation.spec.ts","",""
"","10482","Test 1.1 - Navigate to Home Page and Search for Course","chromium","2026-02-23","passed","2026-02-23","","1Testing_Filters.spec.ts","",""
"","16023","Test 4.2 - Validate Coursera Plus Pricing Options","chromium","2026-02-23","passed","2026-02-23","","4Price_Validation.spec.ts","",""
